outlet_id	domain	year	brand_type	verdict	tier	artefact_url	http_status	title	matched_keyword	article_urls	shared_domain	checked_on	human_checked	human_verdict	human_note
che_teletext	teletext.ch	2022	aggregator	A3	A3	https://web.archive.org/web/20220702231727id_/https://www.teletext.ch/	200	teletext.ch -  SRF1 100	teletext	160	no	2026-09-14			
che_teletext	teletext.ch	2024	aggregator	A3	A3	https://web.archive.org/web/20240702093843id_/https://www.teletext.ch/	200	teletext.ch -  SRF1 100	teletext	25	no	2026-09-14			
che_teletext	teletext.ch	2026	aggregator	A3-noarticles	A3	https://web.archive.org/web/20260626095213id_/https://www.teletext.ch/	200	TELETEXT	teletext	0	no	2026-09-14			
che_watson	watson.ch	2017	outlet	A3	A3	https://web.archive.org/web/20170701033409id_/http://www.watson.ch/	200	watson – news anders sehen	watson	300	no	2026-09-14			
che_watson	watson.ch	2018	outlet	A3	A3	https://web.archive.org/web/20180702065927id_/https://www.watson.ch/	200	watson – News ohne Bla Bla	watson	300	no	2026-09-14			
che_watson	watson.ch	2023	outlet	A3	A3	https://web.archive.org/web/20230701000029id_/https://www.watson.ch/	200	watson – News ohne Bla Bla	watson	300	no	2026-09-14			
che_watson	watson.ch	2024	outlet	A3	A3	https://web.archive.org/web/20240701001334id_/https://www.watson.ch/	200	watson - News ohne Bla Bla	watson	300	no	2026-09-14			
deu_gmx	gmx.ch	2017	aggregator	A3	A3	https://web.archive.org/web/20170630205735id_/https://www.gmx.ch/	200	GMX: E-Mail, FreeMail & Nachrichten	gmx	300	no	2026-09-14			
deu_gmx	gmx.ch	2021	aggregator	A3	A3	https://web.archive.org/web/20210630233147id_/https://www.gmx.ch/	200	GMX: E-Mail, FreeMail & Nachrichten	gmx	300	no	2026-09-14			
usa_cnn	cnn.com	2021	foreign	A3-noarticles	A3	https://web.archive.org/web/20210701001345id_/https://www.cnn.com/	200	CNN - Breaking News, Latest News and Videos	cnn	0	no	2026-09-14			
usa_yahoo	yahoo.com	2018	aggregator	A3-noarticles	A3	https://web.archive.org/web/20180701000125id_/https://www.yahoo.com/	200	Yahoo	yahoo	0	no	2026-09-14			
usa_yahoo	yahoo.com	2020	aggregator	A3-noarticles	A3	https://web.archive.org/web/20200701000037id_/https://www.yahoo.com/	200	Yahoo	yahoo	0	no	2026-09-14			
che_24heures	24heures.ch	2018	outlet	A3	A3	https://web.archive.org/web/20180701011702id_/https://www.24heures.ch/	200	24 heures, l'actualité en direct, en photos et vidéos : politique, sports, people, culture, économie, multimédia	24heures	300	no	2026-09-15			
che_24heures	24heures.ch	2021	outlet	A3-arts?	A3	https://web.archive.org/web/20210630141109id_/https://www.24heures.ch/	200	24 heures | l’actualité du canton de Vaud, de la Suisse et du monde	24heures		no	2026-09-15			
che_24heures	24heures.ch	2023	outlet	A3-noarticles	A3	https://web.archive.org/web/20230630235050id_/http://www.24heures.ch/	200	24 heures | l’actualité du canton de Vaud, de la Suisse et du monde	24heures	0	no	2026-09-15			
